Time,Total,,
25/01/2030 00:59,47117.4573,,
25/01/2030 01:59,46695.39105,,
25/01/2030 02:59,44096.73198,,
25/01/2030 03:59,41162.60314,,
25/01/2030 04:59,39143.8422,,
25/01/2030 05:59,36953.55187,,
25/01/2030 06:59,38352.64446,,
25/01/2030 07:59,43412.17786,,
25/01/2030 08:59,50535.20505,,
25/01/2030 09:59,52698.11178,,
25/01/2030 10:59,53861.35169,,
25/01/2030 11:59,53838.49733,,
25/01/2030 12:59,53831.87075,,
25/01/2030 13:59,53740.38627,,
25/01/2030 14:59,51867.51693,,
25/01/2030 15:59,51591.74863,,
25/01/2030 16:59,51709.84858,,
25/01/2030 17:59,54052.37207,,
25/01/2030 18:59,58137.05484,,
25/01/2030 19:59,58266.81919,,
25/01/2030 20:59,56204.5815,,
25/01/2030 21:59,53143.40413,,
25/01/2030 22:59,54138.77519,,
25/01/2030 23:59,48593.06043,,
26/01/2030 00:59,45010.48994,,
26/01/2030 01:59,44409.0197,,
26/01/2030 02:59,41676.50283,,
26/01/2030 03:59,38687.24831,,
26/01/2030 04:59,36629.86734,,
26/01/2030 05:59,34378.82883,,
26/01/2030 06:59,35648.48241,,
26/01/2030 07:59,40380.58575,,
26/01/2030 08:59,47326.09412,,
26/01/2030 09:59,49595.49093,,
26/01/2030 10:59,50852.67251,,
26/01/2030 11:59,50898.81819,,
26/01/2030 12:59,50908.024,,
26/01/2030 13:59,50788.33125,,
26/01/2030 14:59,48892.87208,,
26/01/2030 15:59,48650.5644,,
26/01/2030 16:59,48891.17803,,
26/01/2030 17:59,51376.30292,,
26/01/2030 18:59,55365.18715,,
26/01/2030 19:59,55470.11665,,
26/01/2030 20:59,53591.55369,,
26/01/2030 21:59,50867.01301,,
26/01/2030 22:59,52053.56701,,
26/01/2030 23:59,47853.17765,,
27/01/2030 00:59,45278.08038,,
27/01/2030 01:59,44528.93065,,
27/01/2030 02:59,41595.56796,,
27/01/2030 03:59,38524.51161,,
27/01/2030 04:59,36336.81033,,
27/01/2030 05:59,33506.03542,,
27/01/2030 06:59,32850.20875,,
27/01/2030 07:59,34699.37464,,
27/01/2030 08:59,40109.07746,,
27/01/2030 09:59,42573.85925,,
27/01/2030 10:59,44665.79962,,
27/01/2030 11:59,45376.632,,
27/01/2030 12:59,45802.3978,,
27/01/2030 13:59,46180.90039,,
27/01/2030 14:59,44560.64682,,
27/01/2030 15:59,44480.21344,,
27/01/2030 16:59,44656.89355,,
27/01/2030 17:59,47632.68727,,
27/01/2030 18:59,51672.39677,,
27/01/2030 19:59,50974.40956,,
27/01/2030 20:59,48846.73737,,
27/01/2030 21:59,47014.79754,,
27/01/2030 22:59,49625.9671,,
27/01/2030 23:59,45726.50903,,
28/01/2030 00:59,43617.96499,,
28/01/2030 01:59,43030.77243,,
28/01/2030 02:59,40005.06564,,
28/01/2030 03:59,36892.99181,,
28/01/2030 04:59,34732.07287,,
28/01/2030 05:59,32062.2907,,
28/01/2030 06:59,31593.08713,,
28/01/2030 07:59,32422.25827,,
28/01/2030 08:59,35858.85598,,
28/01/2030 09:59,38597.57704,,
28/01/2030 10:59,41649.94875,,
28/01/2030 11:59,43321.64138,,
28/01/2030 12:59,44355.95012,,
28/01/2030 13:59,45059.64046,,
28/01/2030 14:59,43555.05336,,
28/01/2030 15:59,43543.87801,,
28/01/2030 16:59,43975.97685,,
28/01/2030 17:59,46369.08414,,
28/01/2030 18:59,49991.85306,,
28/01/2030 19:59,49667.21543,,
28/01/2030 20:59,48280.36337,,
28/01/2030 21:59,46696.42221,,
28/01/2030 22:59,48997.51102,,
28/01/2030 23:59,46767.10805,,
29/01/2030 00:59,43074.7786,,
29/01/2030 01:59,42586.30149,,
29/01/2030 02:59,39901.05955,,
29/01/2030 03:59,36853.33032,,
29/01/2030 04:59,34821.69301,,
29/01/2030 05:59,32863.43476,,
29/01/2030 06:59,34791.09297,,
29/01/2030 07:59,40022.52277,,
29/01/2030 08:59,46541.8893,,
29/01/2030 09:59,48578.10801,,
29/01/2030 10:59,49771.43957,,
29/01/2030 11:59,49848.2566,,
29/01/2030 12:59,49908.37916,,
29/01/2030 13:59,49828.33131,,
29/01/2030 14:59,47998.25454,,
29/01/2030 15:59,47898.24873,,
29/01/2030 16:59,48559.63293,,
29/01/2030 17:59,51364.884,,
29/01/2030 18:59,55758.51286,,
29/01/2030 19:59,56304.61355,,
29/01/2030 20:59,54498.03056,,
29/01/2030 21:59,51189.61247,,
29/01/2030 22:59,51548.40974,,
29/01/2030 23:59,48683.06427,,
30/01/2030 00:59,45164.60632,,
30/01/2030 01:59,44215.58975,,
30/01/2030 02:59,41263.01783,,
30/01/2030 03:59,38208.83158,,
30/01/2030 04:59,36110.82979,,
30/01/2030 05:59,33849.65159,,
30/01/2030 06:59,35301.10751,,
30/01/2030 07:59,40008.31441,,
30/01/2030 08:59,46773.88277,,
30/01/2030 09:59,48894.85199,,
30/01/2030 10:59,50064.19747,,
30/01/2030 11:59,50185.79533,,
30/01/2030 12:59,50239.57748,,
30/01/2030 13:59,50208.95428,,
30/01/2030 14:59,48474.98885,,
30/01/2030 15:59,48418.76801,,
30/01/2030 16:59,49044.39737,,
30/01/2030 17:59,52260.34986,,
30/01/2030 18:59,55931.42652,,
30/01/2030 19:59,54635.9285,,
30/01/2030 20:59,51974.5143,,
30/01/2030 21:59,49718.15548,,
30/01/2030 22:59,51527.22907,,
30/01/2030 23:59,48704.84234,,
31/01/2030 00:59,45181.95928,,
31/01/2030 01:59,44603.13841,,
31/01/2030 02:59,41925.64772,,
31/01/2030 03:59,38962.61481,,
31/01/2030 04:59,36972.21093,,
31/01/2030 05:59,34916.08691,,
31/01/2030 06:59,36480.7726,,
31/01/2030 07:59,41388.23966,,
31/01/2030 08:59,48097.1094,,
31/01/2030 09:59,49976.40332,,
31/01/2030 10:59,50846.89341,,
31/01/2030 11:59,50648.13341,,
31/01/2030 12:59,50525.73884,,
31/01/2030 13:59,50348.12519,,
